"","package","version","pkg_ref","pkg_score","news_current","has_vignettes","has_bug_reports_url","bugs_status","license","export_help","downloads_1yr","has_website","has_maintainer","has_news","has_source_control","covr_coverage"
"954","dismo","1.1-4",<pkg_ref>,1,0,0,0,0,0,0,0.418861433320161,1,1,0,0,0
"955","distillery","1.0-7",<pkg_ref>,1,0,0,0,0,0,0,0.138950437987211,1,1,0,0,0
"956","distr","2.8.0",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.157696130456023,1,1,1,0,0
"957","distrEx","2.8.0",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.105476274249047,1,1,1,0,0
"958","DistributionUtils","0.6-0",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.453537977289038,0,1,1,0,0
"959","diveRsity","1.9.90",<pkg_ref>,1,0,0,0,0,0,0,0.086963667240865,1,1,0,0,0
"960","doMC","1.3.6",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.333795235303523,0,1,1,0,0
"961","doParallel","1.0.15",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.922602695902896,0,1,0,0,0
"962","doRNG","1.8.2",<pkg_ref>,0.75,0,0,1,0,0,0,0.657858421814947,1,1,1,0,0
"963","doSNOW","1.0.18",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.396375840546642,0,1,1,0,0
"964","dotCall64","1.0-0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.689846184384376,1,1,1,0,0
"965","downloader","0.4",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.726913245799926,1,1,1,1,0
"966","dplyr","1.0.0",<pkg_ref>,0.333922261484099,1,1,1,0,NA,0.996466431095406,0.988855287994961,1,1,1,1,0
"967","dr","3.0.10",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.0724365237394412,1,1,1,0,0
"968","DRR","0.0.4",<pkg_ref>,0.833333333333333,0,0,1,0,0,0,0.258984809188588,1,1,0,1,0
"969","DT","0.13",<pkg_ref>,0.416666666666667,0,1,1,0,NA,1,0.959705625417047,1,1,1,1,0
"970","dtangle","2.0.9",<pkg_ref>,1,0,0,0,0,0,0,0.039151378497489,0,1,0,0,0
"971","DTRreg","1.5",<pkg_ref>,1,0,0,0,0,0,0,0.0531797380463942,0,1,0,0,0
"972","dtw","1.21-3",<pkg_ref>,1,0,0,0,0,0,0,0.432480288148675,1,1,0,0,0
"973","dummies","1.5.6",<pkg_ref>,1,0,0,0,0,0,0,0.569347906600174,1,1,0,0,0
"974","dynamicTreeCut","1.63-1",<pkg_ref>,1,0,0,0,0,0,0,0.35014296854692,1,1,0,0,0
"975","e1071","1.7-3",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.954706261044123,0,1,1,0,0
"976","EasyABC","1.5",<pkg_ref>,1,0,0,0,0,0,0,0.0558734115070149,1,1,0,0,0
"977","ellipse","0.4.2",<pkg_ref>,1,0,0,0,0,0,0,0.85080401715157,0,1,0,0,0
"978","ellipsis","0.3.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.986783866166733,1,1,1,1,0
"979","emulator","1.2-20",<pkg_ref>,0.833333333333333,0,0,1,0,0,0,0.108692035272027,1,1,0,1,0
"980","energy","1.7-7",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.411062600119358,1,1,1,1,0
"981","ergm","3.10.4",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.37554639690271,1,1,1,0,0
"982","ergm.count","3.4.0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.245700492809011,1,1,1,0,0
"983","evaluate","0.14",<pkg_ref>,0.5,1,0,1,0,NA,1,0.979998274517815,1,1,1,1,0
"984","expm","0.999-4",<pkg_ref>,1,0,0,0,0,0,0,0.85130185228326,1,1,0,0,0
"985","expsmooth","2.3",<pkg_ref>,1,0,0,0,0,0,0,0.565772447393332,1,1,0,1,0
"986","extrafont","0.17",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.727751883956963,1,1,1,1,0
"987","extrafontdb","1.0",<pkg_ref>,1,0,0,0,0,0,0,0.697373809922508,1,1,0,1,0
"988","extRemes","2.0-12",<pkg_ref>,1,0,0,0,0,0,0,0.175352948937855,1,1,0,0,0
"989","FactoMineR","2.3",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.863488062031025,1,1,1,0,0
"990","fail","1.3",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.0530661717359191,1,1,1,1,0
"991","fansi","0.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.982755019065476,1,1,1,1,0
"992","farver","2.0.3",<pkg_ref>,0.5,1,0,1,0,NA,1,0.970029107730572,1,1,1,1,0
"993","fastcluster","1.1.25",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.387770095426234,1,1,1,0,0
"994","fastICA","1.2-2",<pkg_ref>,1,0,0,0,0,0,0,0.822763541751592,0,1,0,0,0
"995","fastmap","1.0.1",<pkg_ref>,0.5,1,0,1,0,NA,1,0.956850649742916,1,1,1,1,0
"996","fastmatch","1.1-0",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.778684025708064,1,1,1,0,0
"997","fdrtool","1.2.15",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.512980688060884,1,1,1,0,0
"998","feather","0.3.5",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.637610257079284,1,1,1,1,0
"999","ff","2.2-14.2",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.608041934286924,1,1,1,0,0
"1000","ffbase","0.12.8",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.461019105076122,1,1,1,1,0
"1001","fftw","1.0-6",<pkg_ref>,1,0,0,0,0,0,0,0.249786189063883,0,1,0,0,0
"1002","fields","10.3",<pkg_ref>,1,0,0,0,0,0,0,0.742748950415718,1,1,0,1,0
"1003","filehash","2.4-2",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.455732946298984,1,1,1,1,0
"1004","fishMod","0.29",<pkg_ref>,1,0,0,0,0,0,0,0.0670655479745993,0,1,0,0,0
"1005","fitdistrplus","1.1-1",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.661923071721893,1,1,1,1,0
"1006","flashClust","1.01-2",<pkg_ref>,1,0,0,0,0,0,0,0.822152664153091,0,1,0,0,0
"1007","flexclust","1.4-0",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.388914916586886,0,1,1,0,0
"1008","flexmix","2.3-15",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.908281002549788,0,1,1,0,0
"1009","fma","2.4",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.539820836912505,1,1,1,1,0
"1010","FME","1.3.6.1",<pkg_ref>,1,0,0,0,0,0,0,0.190973420780117,1,1,0,0,0
"1011","FNN","1.1.3",<pkg_ref>,1,0,0,0,0,0,0,0.787656019739496,0,1,0,0,0
"1012","forcats","0.5.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.964556661729016,1,1,1,1,0
"1013","foreach","1.5.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.93423847496393,1,1,1,1,0
"1014","forecast","8.12",<pkg_ref>,0.75,0,0,1,0,0,0,0.937867925434883,1,1,1,1,0
"1015","foreign","0.8.75",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.902199851343774,0,1,0,0,0
"1016","formatR","1.7",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.84088425921015,1,1,1,1,0
"1017","Formula","1.2-3",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.932772747685366,0,1,1,0,0
"1018","fossil","0.4.0",<pkg_ref>,1,0,0,0,0,0,0,0.11523738181046,1,1,0,0,0
"1019","fpc","2.2-5",<pkg_ref>,1,0,0,0,0,0,0,0.909087052177971,1,1,0,0,0
"1020","fpp","0.5",<pkg_ref>,1,0,0,0,0,0,0,0.427961253908931,1,1,0,0,0
"1021","fracdiff","1.5-1",<pkg_ref>,0.833333333333333,0,0,1,0,0,0,0.910685471146048,1,1,0,1,0
"1022","fs","1.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.982330686155998,1,1,1,1,0
"1023","futile.logger","1.4.3",<pkg_ref>,1,0,0,0,0,0,0,0.794266904402688,0,1,0,0,0
"1024","futile.options","1.0.1",<pkg_ref>,1,0,0,0,0,0,0,0.78555712972507,0,1,0,0,0
"1025","future","1.17.0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.82917993843645,1,1,1,1,0
"1026","gam","1.16.1",<pkg_ref>,1,0,0,0,0,0,0,0.815479998031787,0,1,0,0,0
"1027","gamlss","5.1-6",<pkg_ref>,1,0,0,0,0,0,0,0.390105064567544,1,1,0,0,0
"1028","gamlss.data","5.1-4",<pkg_ref>,1,0,0,0,0,0,0,0.352272874483438,1,1,0,0,0
"1029","gamlss.dist","5.1-6",<pkg_ref>,1,0,0,0,0,0,0,0.409699812678074,1,1,0,0,0
"1030","gamlss.tr","5.1-0",<pkg_ref>,1,0,0,0,0,0,0,0.064925349873765,1,1,0,0,0
"1031","gap","1.2.2",<pkg_ref>,0.833333333333333,0,0,1,0,0,0,0.250779189642772,1,1,0,1,0
"1032","gapfill","0.9.6",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.0435320448647235,1,1,1,0,0
"1033","gbm","2.1.5",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.693107815316375,1,1,1,1,0
"1034","gbRd","0.4-11",<pkg_ref>,1,0,0,0,0,0,0,0.758562966778264,0,1,0,0,0
"1035","gclus","1.3.2",<pkg_ref>,1,0,0,0,0,0,0,0.668964786680909,0,1,0,0,0
"1036","gdata","2.18.0",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.933992005111659,0,1,1,0,0
"1037","gdistance","1.3-1",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.193817114725199,1,1,1,0,0
"1038","gee","4.13-20",<pkg_ref>,1,0,0,0,0,0,0,0.364893873766306,0,1,0,0,0
"1039","geepack","1.3-1",<pkg_ref>,1,0,0,0,0,0,0,0.470086375920725,0,1,0,0,0
"1040","geiger","2.0.7",<pkg_ref>,1,0,0,0,0,0,0,0.251355047364271,1,1,0,1,0
"1041","GeneNet","1.2.15",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.122689016651362,1,1,1,0,0
"1042","generics","0.0.2",<pkg_ref>,0.5,1,0,1,0,NA,1,0.958796619564793,1,1,1,1,0
"1043","GenSA","1.1.7",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.283828367080932,0,1,1,0,0
"1044","geometry","0.4.5",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.610804078773254,1,1,1,0,0
"1045","getopt","1.20.3",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.483270005201749,1,1,1,1,0
"1046","GetoptLong","1.0.0",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.380009010535714,1,1,1,1,0
"1047","GGally","2.0.0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.840204538191115,1,1,1,1,0
"1048","ggbeeswarm","0.6.0",<pkg_ref>,0.833333333333333,0,0,1,0,0,0,0.386249534572564,1,1,0,1,0
"1049","ggforce","0.3.1",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.791914635059887,1,1,1,0,0
"1050","ggm","2.5",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.433025151004302,0,1,1,0,0
"1051","ggplot2","3.3.2",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.989048595252362,1,1,1,1,0
"1052","ggraph","2.0.3",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.751242130959409,1,1,1,1,0
"1053","ggrepel","0.8.2",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.941638283418503,1,1,1,1,0
"1054","ggridges","0.5.2",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.770649215620317,1,1,1,0,0
"1055","ggvis","0.4.5",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.410609037328094,1,1,1,0,0
"1056","gh","1.1.0",<pkg_ref>,0.5,1,0,1,0,NA,1,0.939290795067984,1,1,1,1,0
"1057","GillespieSSA","0.6.1",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.0597910228846865,1,1,1,1,0
"1058","git2r","0.27.1",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.939457270757983,1,1,0,1,0
"1059","glasso","1.11",<pkg_ref>,1,0,0,0,0,0,0,0.51473585455016,1,1,0,0,0
"1060","gllvm","1.2.2",<pkg_ref>,1,0,0,0,0,0,0,0.0539679736624684,1,1,0,1,0
"1061","glmmML","1.1.1",<pkg_ref>,1,0,0,0,0,0,0,0.236050278077699,0,1,0,0,0
"1062","glmmTMB","1.0.1",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.494167754205995,1,1,1,1,0
"1063","glmnet","4.0-2",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.840554614827783,1,1,1,0,0
"1064","GlobalOptions","0.1.2",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.527915906086738,1,1,1,1,0
"1065","globals","0.12.5",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.879347026105282,1,1,1,1,0
"1066","glue","1.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.985245732328076,1,1,1,1,0
"1067","gmm","1.6-5",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.364309809971012,0,1,1,0,0
"1068","gmodels","2.18.1",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.784164276885577,0,1,1,0,0
"1069","goftest","1.2-2",<pkg_ref>,0.833333333333333,0,0,1,0,0,0,0.630821029418642,1,1,0,1,0
"1070","gomms","1.0",<pkg_ref>,1,0,0,0,0,0,0,0.0411843291166751,0,1,0,0,0
"1071","gower","0.2.1",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.902533036427303,1,1,1,1,0
"1072","gplots","3.0.3",<pkg_ref>,0.75,0,0,1,0,0,0,0.92785367571093,1,1,1,1,0
"1073","graphics","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0
"1074","graphlayouts","0.7.0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.712297553378394,1,1,1,1,0
"1075","grDevices","3.6.3",<pkg_ref>,0.833333333333333,0,0,0,0,NA,1,0,0,1,0,0,0
"1076","grid","3.6.3",<pkg_ref>,0.666666666666667,0,1,0,0,NA,1,0.00945638966664908,0,1,0,0,0
"1077","gridBase","0.4-7",<pkg_ref>,1,0,0,0,0,0,0,0.531216306172006,0,1,0,0,0
"1078","gridExtra","2.3",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.956893058575436,0,1,1,0,0
"1079","grpreg","3.3.0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.564239772707466,1,1,1,1,0
"1080","GSA","1.03.1",<pkg_ref>,1,0,0,0,0,0,0,0.121023363199006,1,1,0,0,0
"1081","gsalib","2.1",<pkg_ref>,1,0,0,0,0,0,0,0.0585458927495481,0,1,0,0,0
"1082","gsw","1.0-5",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.142033495012355,1,1,1,0,0
"1083","gtable","0.3.0",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.97285446682463,1,1,1,1,0
"1084","gtools","3.8.2",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.948411380036855,1,1,1,1,0
"1085","GUTS","1.1.1",<pkg_ref>,1,0,0,0,0,0,0,0.054659582915808,0,1,0,0,0
"1086","haven","2.3.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.975120318141468,1,1,1,1,0
"1087","hdf5r","1.3.2",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.339049818018383,1,1,1,1,0
"1088","heatmap3","1.1.7",<pkg_ref>,0.833333333333333,1,0,0,0,0,0,0.126708739898931,0,1,1,0,0
"1089","hexbin","1.28.1",<pkg_ref>,1,0,0,0,0,0,0,0.935378976454684,1,1,0,1,0
"1090","highr","0.8",<pkg_ref>,0.5,0,1,1,0,NA,1,0.97863630401223,1,1,0,1,0
"1091","Hmisc","4.4-0",<pkg_ref>,0.916666666666667,0,0,0,0,0,0,0.968356933786884,1,1,1,1,0
"1092","hms","0.5.3",<pkg_ref>,0.5,1,0,1,0,NA,1,0.980840149237355,1,1,1,1,0
"1093","htmlTable","2.0.0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.924186942868796,1,1,1,0,0
"1094","htmltools","0.5.0",<pkg_ref>,0.666666666666667,0,0,1,0,NA,1,0.980270818528227,1,1,0,1,0
"1095","htmlwidgets","1.5.1",<pkg_ref>,0.5,0,1,1,0,NA,1,0.964855762190657,1,1,0,1,0
"1096","httpcode","0.3.0",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.506892006061941,1,1,1,1,0
"1097","httpuv","1.5.4",<pkg_ref>,0.666666666666667,1,0,0,0,NA,1,0.972067912959148,1,1,1,1,0
"1098","httr","1.4.1",<pkg_ref>,0.333333333333333,1,1,1,0,NA,1,0.979362629960398,1,1,1,1,0
"1099","huge","1.3.4.1",<pkg_ref>,1,0,0,0,0,0,0,0.517878666130976,0,1,0,0,0
"1100","hwriter","1.3.2",<pkg_ref>,1,0,0,0,0,0,0,0.393513015210694,0,1,0,0,0
"1101","HWxtest",NA,<pkg_ref>,1,0,0,0,0,0,0,0.0336608149460461,0,0,0,0,0
"1102","ica","1.0-2",<pkg_ref>,1,0,0,0,0,0,0,0.348729371002827,0,1,0,0,0
"1103","IDPmisc","1.1.20",<pkg_ref>,1,0,0,0,0,0,0,0.23193511387842,0,1,0,0,0
"1104","igraph","1.2.5",<pkg_ref>,0.666666666666667,1,0,1,0,0,0,0.944074987239776,1,1,1,0,0
"1105","imager","0.42.3",<pkg_ref>,0.75,0,0,1,0,0,0,0.468614607430185,1,1,1,1,0
"1106","ineq","0.2-13",<pkg_ref>,1,0,0,0,0,0,0,0.319912948857454,0,1,0,0,0
